,Номер участка,Содержание азота (N),Содержание фосфора (P),Содержание калия (K),Дата измерения
0,10,72,229,340,2005-02-13
1,12,103,94,0,2015-11-13
2,12,353,255,209,2023-03-20
3,7,264,206,76,2004-11-25
4,16,385,351,103,2016-08-08
5,7,276,383,357,2021-09-18
6,17,287,163,211,2011-03-19
7,9,333,143,290,2005-08-20
8,2,151,345,147,2023-05-23
9,20,341,242,40,2004-07-12
10,10,0,132,80,2020-05-20
11,6,182,316,322,2019-01-02
12,16,123,155,293,2005-05-31
13,1,131,169,57,2020-09-10
14,9,339,99,206,2020-05-16
15,9,224,191,288,2005-06-02
16,18,182,290,365,2013-11-28
17,5,218,294,139,2023-12-18
18,5,137,69,377,2014-12-20
19,5,251,172,314,2017-11-15
20,8,304,292,92,2007-09-27
21,14,191,239,324,2004-12-25
22,11,124,215,241,2021-05-05
23,12,166,115,352,2003-04-12
24,8,107,51,9,2003-04-04
25,15,32,189,193,2023-07-16
26,15,39,310,288,2013-03-24
27,1,28,42,3,2021-06-16
28,20,183,365,76,2014-06-13
29,15,315,282,123,2010-12-03
30,17,136,159,328,2024-05-10
31,17,238,371,345,2002-10-19
32,14,91,288,268,2008-03-25
33,14,101,321,119,2020-12-05
34,6,86,99,168,2017-03-31
35,9,58,12,188,2007-07-02
36,19,74,221,210,2021-03-31
37,18,389,210,149,2005-12-18
38,19,256,31,276,2002-09-07
39,9,274,65,98,2006-07-31
40,11,144,48,254,2011-10-01
41,11,389,329,298,2023-11-05
42,13,20,325,304,2024-02-29
43,4,167,208,288,2011-12-30
44,6,311,362,68,2024-03-11
45,19,355,354,390,2007-03-24
46,11,204,18,192,2018-11-24
47,1,5,115,252,2009-07-29
48,10,360,252,393,2015-06-30
49,18,383,284,259,2006-08-29
50,15,277,227,368,2018-01-03
51,13,317,354,273,2007-04-07
52,12,165,322,238,2009-09-07
53,19,171,270,140,2002-09-10
54,4,385,26,92,2018-03-14
55,4,246,93,68,2018-09-24
56,5,111,273,369,2012-11-25
57,6,58,7,251,2002-08-14
58,14,238,79,224,2015-05-11
59,19,196,258,345,2010-10-28
60,18,291,134,79,2010-07-31
61,5,298,131,30,2020-07-16
62,16,226,323,156,2002-11-03
63,5,171,386,227,2016-09-07
64,11,327,136,165,2016-05-24
65,4,318,146,359,2018-08-06
66,5,176,154,285,2024-08-14
67,14,136,277,199,2019-05-04
68,3,260,324,26,2008-01-27
69,5,98,378,378,2006-06-03
70,19,244,242,378,2006-09-23
71,17,362,395,46,2008-06-09
72,19,336,61,394,2009-06-20
73,12,129,193,76,2023-08-17
74,7,66,309,129,2001-03-01
75,10,347,90,73,2012-05-15
76,4,373,82,21,2015-12-02
77,12,344,249,105,2017-08-11
78,9,372,188,7,2013-07-01
79,13,103,211,234,2006-09-25
80,5,267,88,112,2013-07-22
81,10,312,35,231,2010-10-20
82,14,185,73,368,2008-04-05
83,12,152,157,271,2018-04-27
84,19,335,203,385,2012-01-31
85,9,292,1,352,2012-01-13
86,20,392,177,69,2017-06-02
87,13,195,190,392,2024-10-20
88,5,263,112,152,2022-10-22
89,17,253,181,141,2010-06-17
90,5,126,294,39,2021-05-29
91,12,280,108,255,2015-10-03
92,15,28,267,23,2005-12-21
93,6,67,377,5,2016-05-25
94,4,362,16,41,2014-12-19
95,15,274,143,180,2021-06-21
96,14,291,360,299,2021-11-12
97,10,258,46,8,2012-08-23
98,7,318,400,216,2007-12-06
99,12,12,108,270,2008-07-02
100,15,399,98,55,2006-08-15
101,7,93,1,387,2018-06-18
102,13,332,352,187,2009-01-09
103,13,366,169,377,2022-06-20
104,3,316,367,393,2023-01-30
105,8,284,153,79,2020-09-03
106,1,256,324,70,2015-07-30
107,17,208,105,136,2017-07-06
108,20,123,101,327,2023-07-17
109,2,132,220,310,2004-04-06
110,3,139,396,58,2017-10-12
111,1,261,272,91,2003-07-26
112,3,304,96,397,2005-05-08
113,11,378,387,286,2017-12-06
114,6,175,358,143,2024-12-24
115,15,269,257,382,2006-01-26
116,3,94,129,96,2013-09-07
117,8,267,108,350,2000-03-24
118,16,356,26,308,2009-02-23
119,20,212,337,363,2009-09-18
120,15,260,318,172,2005-10-25
121,17,195,115,11,2017-01-09
122,9,38,78,25,2010-04-23
123,13,268,61,244,2000-02-04
124,19,397,246,148,2001-10-03
125,5,65,7,241,2004-02-20
126,3,332,90,202,2010-02-13
127,7,60,148,126,2001-09-13
128,1,317,232,133,2020-08-05
129,10,179,176,280,2011-10-06
130,11,375,7,228,2007-12-10
131,8,25,285,272,2005-11-30
132,18,36,344,65,2017-09-14
133,15,65,303,384,2008-06-22
134,8,276,291,398,2013-10-18
135,14,356,8,238,2009-07-27
136,2,365,77,25,2024-02-21
137,7,257,6,182,2002-10-08
138,4,133,155,227,2004-03-16
139,6,77,61,75,2016-05-09
140,9,400,242,216,2005-04-28
141,10,243,340,104,2005-08-29
142,5,159,366,178,2016-12-21
143,5,218,121,90,2024-03-03
144,16,354,306,252,2018-01-19
145,19,377,145,293,2022-04-17
146,9,356,277,114,2005-10-03
147,4,211,179,252,2009-06-09
148,17,382,383,308,2012-05-19
149,3,325,357,207,2023-04-28
150,11,336,237,239,2014-07-11
151,5,12,59,331,2003-11-18
152,20,197,370,112,2007-10-01
153,11,76,71,288,2012-10-22
154,9,364,373,309,2010-10-05
155,4,53,161,312,2020-05-30
156,14,27,10,186,2005-04-07
157,7,128,238,239,2007-10-25
158,2,135,377,183,2020-04-28
159,10,145,281,305,2011-06-09
160,8,222,246,260,2023-07-06
161,3,195,18,243,2019-06-04
162,9,368,13,70,2005-03-29
163,14,9,303,7,2003-10-11
164,14,111,354,342,2023-08-07
165,17,134,397,356,2001-07-29
166,4,284,223,179,2019-11-15
167,19,157,202,111,2001-05-27
168,20,54,377,52,2014-03-24
169,9,194,367,223,2008-02-27
170,16,117,241,125,2014-06-27
171,6,284,167,261,2002-01-23
172,5,109,378,307,2014-03-11
173,18,269,155,341,2004-08-30
174,19,301,106,193,2006-08-26
175,3,343,305,284,2024-04-22
176,17,336,82,76,2019-09-28
177,5,217,221,100,2003-07-05
178,14,206,135,23,2010-07-21
179,4,172,261,248,2002-08-15
180,10,373,204,159,2007-03-03
181,9,41,0,136,2006-12-09
182,5,264,380,144,2005-08-03
183,17,132,28,208,2021-12-12
184,14,374,39,76,2019-10-08
185,20,354,115,127,2000-12-22
186,15,18,134,368,2018-06-01
187,1,343,32,315,2010-05-11
188,4,230,334,26,2017-01-01
189,20,162,166,30,2022-09-13
190,6,63,329,102,2018-03-03
191,3,72,165,289,2007-10-24
192,12,154,118,172,2017-06-04
193,9,395,233,246,2024-06-06
194,9,313,251,98,2000-06-30
195,12,311,347,348,2018-01-13
196,13,361,153,368,2015-02-16
197,12,116,398,347,2024-10-26
198,20,0,131,362,2021-06-29
199,19,276,47,243,2009-06-04
200,5,111,247,114,2022-05-11
201,18,237,137,230,2004-05-20
202,14,177,360,361,2016-07-16
203,18,347,330,292,2011-03-12
204,5,41,57,10,2021-09-15
205,14,34,214,191,2017-06-18
206,3,292,198,82,2024-12-02
207,10,396,70,236,2005-03-30
208,11,255,219,200,2005-07-15
209,19,4,85,326,2020-02-25
210,11,251,114,349,2006-12-01
211,13,101,16,333,2005-11-04
212,12,93,64,181,2018-02-23
213,19,276,59,384,2000-02-22
214,8,119,52,382,2019-07-24
215,18,280,223,234,2010-08-15
216,12,280,232,37,2022-06-05
217,2,234,309,3,2001-11-19
218,3,388,33,101,2020-10-02
219,15,198,25,16,2007-02-15
220,16,341,94,234,2004-05-03
221,2,304,160,247,2012-10-08
222,18,93,345,390,2024-11-10
223,5,103,0,349,2021-11-05
224,9,208,98,278,2023-06-25
225,2,235,33,95,2010-03-13
226,19,131,87,217,2013-02-25
227,17,216,270,164,2023-02-18
228,14,105,107,95,2020-10-23
229,2,362,85,371,2001-08-25
230,11,154,156,146,2010-03-17
231,17,153,250,217,2002-02-24
232,2,219,125,77,2017-10-21
233,14,237,114,80,2004-02-01
234,5,194,132,263,2011-09-05
235,1,365,241,392,2015-04-10
236,13,288,137,69,2024-03-30
237,17,338,47,184,2020-10-15
238,3,248,62,99,2022-09-20
239,19,342,304,55,2011-11-02
240,20,74,400,258,2021-05-02
241,7,364,366,208,2009-11-25
242,8,49,334,399,2019-04-21
243,17,279,194,41,2004-07-10
244,1,139,271,290,2022-09-01
245,8,334,363,371,2009-06-29
246,12,17,172,329,2009-12-15
247,12,18,14,46,2014-08-26
248,19,130,240,146,2002-08-03
249,11,353,43,92,2004-04-16
250,8,339,294,173,2015-05-19
251,16,185,356,236,2003-11-24
252,5,115,337,94,2004-02-14
253,11,230,0,167,2006-12-12
254,10,213,400,250,2013-02-14
255,8,91,284,386,2021-02-21
256,20,279,282,144,2016-04-13
257,20,88,51,137,2009-08-03
258,19,157,353,340,2009-09-18
259,4,272,86,355,2015-02-26
260,13,275,290,258,2017-12-05
261,18,147,374,231,2011-11-23
262,1,132,241,92,2001-09-20
263,5,133,5,232,2021-01-17
264,11,155,183,359,2001-02-01
265,7,261,104,225,2013-09-09
266,14,172,270,266,2005-09-20
267,10,374,180,258,2023-01-01
268,18,155,146,117,2004-09-17
269,18,391,269,96,2006-12-24
270,15,371,324,310,2004-09-23
271,7,275,333,268,2006-02-27
272,19,256,126,298,2024-01-20
273,17,365,10,60,2015-06-10
274,12,137,94,357,2005-09-23
275,13,338,34,152,2021-08-26
276,7,245,100,171,2003-10-15
277,18,44,12,31,2008-04-03
278,14,185,85,328,2009-11-01
279,5,134,353,292,2014-06-07
280,1,8,9,323,2021-04-23
281,8,219,389,35,2017-08-01
282,17,222,93,86,2006-03-30
283,9,161,211,342,2005-04-24
284,14,142,304,103,2000-08-22
285,8,303,112,227,2022-11-02
286,5,282,117,377,2016-08-04
287,11,327,332,191,2006-01-06
288,11,66,5,168,2014-05-21
289,15,113,344,50,2019-09-22
290,13,139,246,340,2020-09-19
291,8,153,76,143,2000-11-13
292,20,333,47,55,2008-10-09
293,14,24,289,133,2016-10-14
294,14,58,260,5,2014-03-23
295,13,49,15,173,2010-02-21
296,19,47,248,282,2006-10-01
297,12,376,105,177,2002-06-28
298,5,81,310,164,2016-09-19
299,16,341,101,156,2022-03-14
300,2,263,135,18,2012-02-19
301,13,251,77,41,2008-04-21
302,13,350,30,364,2016-09-09
303,15,278,135,19,2004-06-26
304,5,125,56,53,2013-05-17
305,2,104,239,83,2010-09-21
306,9,1,384,14,2007-08-04
307,5,396,142,79,2008-11-11
308,1,26,266,344,2010-07-16
309,7,77,225,181,2024-08-29
310,17,37,348,12,2003-10-05
311,11,54,381,30,2007-06-15
312,10,387,370,319,2011-12-18
313,16,158,363,46,2011-04-24
314,10,84,94,343,2000-07-26
315,20,68,123,303,2004-12-09
316,3,267,275,262,2009-12-13
317,20,75,203,310,2024-08-09
318,20,278,347,259,2008-09-07
319,15,359,19,50,2006-04-21
320,6,120,298,233,2021-08-25
321,9,86,110,29,2015-07-21
322,12,46,387,146,2007-08-22
323,19,344,132,2,2021-01-12
324,20,164,125,261,2006-11-20
325,5,130,216,153,2011-12-07
326,12,213,55,103,2006-01-18
327,6,262,63,389,2004-07-12
328,13,151,314,1,2008-01-04
329,2,103,369,253,2018-10-25
330,6,381,59,287,2021-05-30
331,5,275,306,140,2019-04-11
332,19,136,220,282,2023-12-25
333,10,381,187,92,2002-09-21
334,18,19,213,271,2020-12-15
335,19,310,282,395,2007-06-29
336,4,66,302,308,2015-01-26
337,9,267,366,351,2002-08-27
338,4,80,388,296,2018-01-05
339,11,188,203,51,2010-01-03
340,4,209,96,251,2023-08-17
341,14,340,260,191,2005-06-01
342,18,101,363,116,2017-06-23
343,6,263,124,265,2013-02-08
344,1,241,236,397,2011-01-03
345,3,309,90,331,2005-06-14
346,1,266,264,348,2001-01-29
347,1,59,213,93,2005-04-13
348,14,119,379,319,2015-12-24
349,3,352,261,120,2017-01-16
350,7,13,57,105,2001-01-03
351,17,338,124,115,2010-02-24
352,17,374,286,240,2003-04-14
353,5,42,322,93,2020-11-02
354,8,82,286,55,2000-03-11
355,13,164,35,134,2024-06-07
356,1,285,39,214,2009-02-15
357,19,227,231,77,2008-10-21
358,6,19,109,320,2002-06-12
359,11,165,387,272,2017-05-09
360,12,51,233,10,2007-11-29
361,6,225,327,123,2015-07-14
362,2,83,31,326,2016-11-13
363,7,91,125,114,2008-03-05
364,14,56,334,267,2013-06-12
365,2,205,155,16,2019-07-23
366,16,166,218,297,2016-05-12
367,15,332,241,366,2006-11-29
368,5,103,114,345,2008-03-12
369,1,201,168,14,2009-05-07
370,7,213,228,151,2021-02-21
371,18,124,179,213,2021-11-04
372,10,268,165,153,2017-10-07
373,20,217,362,273,2008-12-02
374,12,122,208,309,2004-02-06
375,5,45,345,115,2002-07-17
376,16,51,177,369,2007-11-16
377,5,48,258,125,2011-11-27
378,3,27,41,173,2019-05-03
379,9,82,212,63,2018-10-22
380,7,98,366,328,2022-12-12
381,20,48,275,353,2018-12-09
382,2,248,138,352,2010-08-16
383,18,6,6,139,2020-01-06
384,3,315,147,321,2000-11-04
385,17,218,4,141,2004-09-13
386,6,142,268,390,2005-06-05
387,2,110,78,358,2005-12-26
388,5,155,268,164,2014-09-28
389,14,30,284,94,2012-08-26
390,8,238,239,270,2013-12-21
391,2,131,125,126,2009-06-09
392,12,271,304,379,2016-12-04
393,14,117,128,81,2003-03-08
394,9,280,280,333,2004-06-22
395,15,361,286,231,2003-02-13
396,11,80,341,87,2017-02-17
397,16,0,13,356,2001-01-08
398,9,267,61,21,2000-07-13
399,12,112,278,361,2013-09-13
400,15,200,1,19,2012-04-22
401,4,166,294,363,2021-01-05
402,6,195,50,4,2000-10-04
403,18,175,284,292,2012-05-09
404,1,140,243,7,2014-02-05
405,18,44,34,356,2022-01-30
406,4,299,205,383,2012-06-21
407,13,169,93,37,2005-11-23
408,16,338,72,149,2023-03-06
409,9,5,81,73,2011-11-11
410,20,171,115,276,2022-07-18
411,20,214,42,395,2009-11-01
412,20,176,192,341,2003-06-28
413,10,325,27,203,2000-10-08
414,10,99,368,297,2024-02-08
415,7,105,237,154,2015-04-28
416,4,355,186,262,2024-07-18
417,17,284,15,28,2005-10-27
418,14,122,186,325,2021-08-23
419,18,302,149,285,2000-07-30
420,20,252,134,317,2004-04-17
421,11,258,84,324,2024-02-28
422,15,63,124,268,2001-05-05
423,11,281,297,235,2009-06-17
424,2,400,269,98,2011-10-13
425,3,184,217,207,2005-07-30
426,14,33,360,34,2019-07-21
427,17,332,130,167,2018-03-02
428,17,21,309,96,2004-02-28
429,2,174,61,355,2019-10-27
430,15,317,313,3,2007-08-06
